   Compiling reader-content v0.1.0 (/Users/minliny/Documents/Reader/Reader-Core-Native/crates/reader-content)
   Compiling reader-storage v0.1.0 (/Users/minliny/Documents/Reader/Reader-Core-Native/crates/reader-storage)
   Compiling reader-runtime v0.1.0 (/Users/minliny/Documents/Reader/Reader-Core-Native/crates/reader-runtime)
   Compiling reader-ffi v0.1.0 (/Users/minliny/Documents/Reader/Reader-Core-Native/crates/reader-ffi)
   Compiling reader-cli v0.1.0 (/Users/minliny/Documents/Reader/Reader-Core-Native/tools/reader-cli)
    Finished `test` profile [unoptimized + debuginfo] target(s) in 13.03s
────────────
 Nextest run ID 8206fac3-aba3-4add-84db-503bd13d6183 with nextest profile: default
    Starting 3738 tests across 93 binaries
        PASS [   0.009s] (  51/3738) reader-cli::bin/reader-cli test_corpus::tests::needs_live_rerecord_network_errors_return_true
        PASS [   0.009s] (  52/3738) reader-cli::bin/reader-cli test_corpus::tests::needs_live_rerecord_no_recording_returns_true
        PASS [   0.008s] (  53/3738) reader-cli::bin/reader-cli test_corpus::tests::needs_live_rerecord_source_unavailable_returns_true
        PASS [   0.008s] (  54/3738) reader-cli::bin/reader-cli test_corpus::tests::needs_live_rerecord_stale_audio_toc_rule_returns_false
        PASS [   0.010s] (  55/3738) reader-cli::bin/reader-cli test_corpus::tests::run_sources_concurrent_executes_in_parallel_with_multiple_threads
        PASS [   0.009s] (  56/3738) reader-cli::bin/reader-cli test_corpus::tests::run_sources_concurrent_isolates_panic_per_task
        PASS [   0.012s] (  57/3738) reader-cli::bin/reader-cli test_corpus::tests::run_sources_concurrent_serial_when_concurrency_is_1
        PASS [   0.012s] (  58/3738) reader-cli::bin/reader-cli test_corpus::tests::source_grouping_sorts_by_priority_then_complexity
        PASS [   0.009s] (  59/3738) reader-cli::bin/reader-cli test_source::tests::audio_l5_accepts_audio_url_or_recorded_content_type
        PASS [   0.016s] (  60/3738) reader-cli::bin/reader-cli test_corpus::tests::write_blocklist_merges_without_duplicates
        PASS [   0.013s] (  61/3738) reader-cli::bin/reader-cli test_source::tests::audio_l5_rejects_plain_html
        PASS [   0.010s] (  62/3738) reader-cli::bin/reader-cli test_source::tests::book_array_nonempty_title_requires_at_least_one_title
        PASS [   0.011s] (  63/3738) reader-cli::bin/reader-cli test_source::tests::book_array_nonempty_url_detects_detail_urls
        PASS [   0.013s] (  64/3738) reader-cli::bin/reader-cli test_source::tests::build_http_agent_succeeds_with_cookie_store
        PASS [   0.309s] (  65/3738) reader-cli::fixture_vertical fixture_vertical_runs_legado_css_dsl_pipeline
        PASS [   0.010s] (  66/3738) reader-cli::bin/reader-cli test_source::tests::classify_error_anti_bot_403
        PASS [   0.012s] (  67/3738) reader-cli::bin/reader-cli test_source::tests::classify_empty_chapter_url_audio_uses_media_gate
        PASS [   0.066s] (  68/3738) reader-cli::bin/reader-cli test_corpus::tests::run_sources_concurrent_preserves_input_order
        PASS [   0.319s] (  69/3738) reader-cli::fixture_vertical fixture_vertical_runs_legado_zhuishu_json_real_source_pipeline
        PASS [   0.011s] (  70/3738) reader-cli::bin/reader-cli test_source::tests::classify_error_core_css_selector_gap
        PASS [   0.323s] (  71/3738) reader-cli::host_replay host_replay_suite_runs_legado_desensitized_corpus
        PASS [   0.012s] (  72/3738) reader-cli::bin/reader-cli test_source::tests::classify_error_host_required_start_browser_await
        PASS [   0.012s] (  73/3738) reader-cli::bin/reader-cli test_source::tests::classify_error_host_required_webview
        PASS [   0.013s] (  74/3738) reader-cli::bin/reader-cli test_source::tests::classify_error_js_callback_network_is_not_js_unsupported
